latitude,longitude,near_highway,near_mall,near_river,near_mountain
12.9406508,77.746988,True,False,True,False
12.9314733,77.5290964,True,False,True,True
13.0221416,77.6403368,True,False,True,False
12.8505644,77.6466948,True,False,True,False
13.0021998,77.6251814,True,False,True,False
12.9512353,77.519054,True,False,True,False
12.9046331,77.6070945,True,True,True,False
12.9565103,77.6759082,True,False,True,False
13.0784176,77.5245316,False,False,True,False
12.9454643,77.6805505,True,False,True,False
12.9176571,77.4837568,True,False,True,False
13.0462134,77.7504125,True,False,True,False
13.0093949,77.6267881,True,False,True,False
12.9934858,77.6251081,True,True,True,False
13.0148544,77.6382029,True,False,True,False
12.997343,77.6036815,True,True,True,False
12.8795774,77.6719842,False,False,True,False
13.0275463,77.5905718,True,False,True,False
13.0120218,77.6777817,True,False,True,False
12.8992578,77.5321721,True,False,True,True
12.9116225,77.6388622,True,False,True,False
13.0200235,77.6092887,True,False,True,False
12.9959233,77.7192796,True,False,True,False
12.9624669,77.6381958,True,False,True,False
13.0271999,77.6792114,False,False,True,False
12.9552572,77.6984163,True,True,True,False
13.0031666,77.7272835,True,False,True,False
13.0221838,77.5530824,True,False,True,True
12.8854515,77.6034249,True,True,True,False
12.8468545,77.6769267,True,False,True,False
13.0475147,77.5709945,True,False,True,False
12.8750432,77.6164914,True,False,True,True
12.9783896,77.637303,True,False,True,False
12.7678915,77.7043732,False,False,True,False
12.9150398,77.5678879,True,False,True,False
13.0273312,77.6601508,True,False,True,False
12.9954832,77.6239259,True,False,True,False
13.0979667,77.3945591,True,False,True,False
12.9292731,77.5824229,True,False,True,False
12.9713194,77.6964768,True,True,True,False
13.0015277,77.6512362,True,False,True,False
13.0578901,77.6721894,False,False,True,False
12.9055682,77.5455438,True,False,True,True
12.97516,77.7703403,True,False,True,False
12.9965445,77.6927176,True,False,True,False
12.9117853,77.5976188,True,False,True,False
12.9320495,77.6842915,True,False,True,False
12.9555367,77.5924278,True,False,True,False
13.0529146,77.6312831,True,False,True,False
13.0479536,77.5001422,True,False,True,False
12.9578658,77.6958748,True,True,True,False
12.8793396,77.5034003,True,False,True,False
12.9770585,77.6318947,True,False,True,False
12.9644251,77.6349677,True,False,True,False
13.1310462,77.574511,True,False,True,False
12.8291084,77.42703,True,False,True,False
12.8871751,77.6112689,True,True,True,False
13.0052451,77.7132511,True,False,True,False
12.9115381,77.6934164,True,False,True,False
12.8905129,77.7133427,True,False,True,False
12.9111998,77.7065133,True,False,True,False
12.9168164,77.6223685,True,True,True,False
13.0705182,77.5869662,True,False,True,False
12.9778793,77.6246697,True,True,True,False
12.9366109,77.7047316,True,False,True,False
12.9528478,77.5819643,True,False,True,False
12.8773486,77.6028031,True,True,True,True
12.8847643,77.6218621,True,False,True,False
13.0278454,77.7206079,True,False,True,False
12.9312736,77.5704231,True,False,False,False
12.8787382,77.642089,True,False,True,False
12.8722557,77.663486,True,False,True,False
13.0464819,77.5176977,True,False,True,False
13.0281982,77.5796524,True,False,True,False
12.9757853,77.6725875,True,False,True,False
13.0207029,77.6215464,True,False,True,False
13.0894554,77.556171,True,False,True,False
13.0544347,77.559327,True,False,True,False
12.8883623,77.6799727,False,False,True,False
12.9761264,77.660815,True,False,True,False
12.9618581,77.5335932,True,False,True,False
12.8899174,77.6396808,True,False,True,False
13.0742536,77.7465943,True,False,True,False
13.0308767,77.6521533,True,False,True,False
12.9194108,77.609966,True,True,True,False
12.9846295,77.7377329,True,False,True,True
13.0374647,77.623602,True,False,True,False
13.1305028,77.5804603,True,False,True,False
12.9041861,77.6778517,True,False,True,False
13.0155836,77.7063956,True,False,True,False
13.0988898,77.5806518,True,False,True,False
12.9694359,77.6092319,True,True,True,False
12.8966653,77.6855489,True,False,True,False
12.9425312,77.6027848,True,True,True,False
12.9746882,77.628026,True,True,True,False
13.0705989,77.5867134,True,False,True,False
12.9635497,77.6460411,True,False,True,False
13.015491,77.7631731,True,False,True,False
12.9489339,77.5968273,True,True,True,False
13.1006982,77.5963454,True,False,True,False
