city,locality,geo_lat,geo_lon
Ahmedabad,Ghuma Bopal Road,23.016933,72.4729214
Ahmedabad,Ahmedabad Cantonment,,
Ahmedabad,Kathwada,23.0329173,72.6830623
Ahmedabad,Khanderavpura,,
Ahmedabad,Jashoda Nagar,22.9825505,72.6258224
Ahmedabad,Jodhpur Cross Road,23.0256526,72.5265946
Ahmedabad,shyamal,23.0154366,72.5292622
Bangalore,kamakshipalya,12.9858669,77.5331755
Bangalore,Kadugodi Industrial Area,12.9907478,77.7467309
Bangalore,Koramangala,12.9357366,77.624081
Bangalore,Sadduguntepalya,,
Bangalore,Chandapura,12.8009043,77.7114908
Bangalore,Yelahanka New Town,13.0978039,77.5811889
Bangalore,Bommanahalli,12.9034581,77.6230028
Bangalore,Kengeri Satellite Town,12.9229728,77.4842926
Bangalore,T Dasarahalli,13.0427796,77.5129645
Bangalore,Attibele,12.7751249,77.7709216
Bangalore,Kasavanahalli,12.8977737,77.6745075
Bangalore,Nandini Layout,13.0125961,77.5333145
Bangalore,Bharat Nagar,12.9730088,77.5804711
Bangalore,Kodihalli on Old Airport Road,,
Bangalore,Hebbal,13.0382184,77.5919
Bangalore,Whitefield Hope Farm Junction,,
Bangalore,Banaswadi,13.0141618,77.6518539
Bangalore,Whitefield,12.9957428,77.7579489
Bangalore,Kogilu,13.1067228,77.6173956
Bangalore,Hennur,13.037077,77.6413572
Bangalore,hongasandra bangalore,12.8964767,77.6216675
Bangalore,Banashankari,12.9278196,77.556621
Bangalore,Krishnarajapura,12.9999024,77.6776703
Bangalore,Indira Nagar,12.9732913,77.6404672
Bangalore,Harlur,12.9058923,77.675465
Bangalore,J. P. Nagar,12.9109539,77.5978198
Bangalore,Begur,12.8633887,77.6130112
Bangalore,BTM Layout,12.9140008,77.6102821
Bangalore,Basavanagudi,12.9417261,77.5755021
Bangalore,Padmanabhanagar,12.9181024,77.5576638
Bangalore,Kadugodi,12.9957428,77.7579489
Bangalore,Rajajinagar,13.0005232,77.5496166
Bangalore,Bagalakunte,,
Bangalore,Vidyaranyapura,13.0766407,77.5577315
Bangalore,Vibhutipura,12.9676625,77.6761038
Bangalore,Electronic City Phase 1,12.8496783,77.6649749
Bangalore,Kaggadasapura,12.9812262,77.6745845
Bangalore,Kannur,13.1014045,77.6356543
Bangalore,Bendre Nagar,12.910206,77.5639218
Bangalore,Mathikere,13.0333587,77.5581786
Bangalore,Munnekollal,,
Bangalore,Electronic City Phase II,12.8473999,77.6724452
Bangalore,JP Nagar Phase 4,12.9096941,77.5866067
Bangalore,HBR Layout,13.031992,77.6280789
Bangalore,Gnana bharathi,12.9551213,77.5174955
Bangalore,Maruthi Sevanagar,13.0027048,77.6346165
Bangalore,Uttarahalli Hobli,,
Bangalore,Ejipura,12.945245,77.6274776
Bangalore,R T  Nagar,13.0254156,77.5960071
Bangalore,Thanisandra,13.0522499,77.6316152
Bangalore,Jalahalli,13.0394104,77.5197351
Bangalore,Frazer Town,12.9975851,77.6136744
Bangalore,Brookefield,12.9652094,77.717936
Bangalore,Murugeshpalya,12.9589406,77.6555917
Bangalore,Amrutahalli,13.0662319,77.6007646
Bangalore,CV Raman Nagar,12.9855509,77.668072
Bangalore,Jakkur,13.0784743,77.6068938
Bangalore,Richmond Town,12.963555,77.6015856
Bangalore,Konanakunte,12.8792861,77.5697529
Bangalore,hebbal kempapura,13.050194,77.6075951
Bangalore,Varthur,12.9406508,77.746988
Bangalore,Varadharaja Nagar,,
Bangalore,RR Nagar,12.9314733,77.5290964
